LEI,Period,ItemKey,StageKey,QuartersInYTD,Amount,Quarterly
0W2PZJM8XOY22M4GG883,202409,2520101,0,3,7054.236106,7054.236106
0W2PZJM8XOY22M4GG883,202409,2520102,0,3,5667.386936,5667.386936
0W2PZJM8XOY22M4GG883,202409,2520103,0,3,431.219816,431.219816
0W2PZJM8XOY22M4GG883,202409,2520104,0,3,5889.481573,5889.481573
0W2PZJM8XOY22M4GG883,202409,2520105,0,3,5.102798,5.102798
0W2PZJM8XOY22M4GG883,202409,2520106,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520107,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520108,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520109,0,3,-258.41331,-258.41331
0W2PZJM8XOY22M4GG883,202409,2520110,0,3,-195.174999,-195.174999
0W2PZJM8XOY22M4GG883,202409,2520111,0,3,-1.145163,-1.145163
0W2PZJM8XOY22M4GG883,202409,2520112,0,3,-185.301422,-185.301422
0W2PZJM8XOY22M4GG883,202409,2520113,0,3,-14.386183,-14.386183
0W2PZJM8XOY22M4GG883,202409,2520114,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520115,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520116,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520117,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520118,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520119,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520120,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520121,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520122,0,3,-1.236105,-1.236105
0W2PZJM8XOY22M4GG883,202409,2520123,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520124,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520125,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520126,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520127,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520128,0,3,598.6,598.6
0W2PZJM8XOY22M4GG883,202409,2520129,0,3,598.6,598.6
0W2PZJM8XOY22M4GG883,202409,2520130,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520131,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520132,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520133,0,3,6265.986936,6265.986936
0W2PZJM8XOY22M4GG883,202409,2520134,0,3,788.24917,788.24917
0W2PZJM8XOY22M4GG883,202409,2520135,0,3,788.24917,788.24917
0W2PZJM8XOY22M4GG883,202409,2520136,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520137,0,3,0.0,0.0
0W2PZJM8XOY22M4GG883,202409,2520138,0,3,30769.686172,30769.686172
0W2PZJM8XOY22M4GG883,202409,2520139,0,3,0.0,0.0
